clean_text,score,bank
sekarang ribet banget kalo ganti device harus verifikasi tpi gagal terus cba chat halo bca di sruh telpon layanan verifikasi lgi ujung nya di suruh nunggu di telpon setelah nunggu dan di tlpn lagi dan lagi di suruh verifikasi data memang bagus hati banget tpi maaf ribet banget bagaimana kalo orang lagi butuh banget untuk transaksi,1,BCAMobile_reviews
dari pagi lampu indikator merah terus ga bisa transaksi,1,BCAMobile_reviews
nama ktp berubah sebelumnya m karena didukcapil kaga boleh disingkat m menjadi muhammad haduh sulitnya buat urus kekinian data mau udahan aja jadi nasabah good bye bca dari tahun sd edit ktp terbaru sudah ada tetap aja kaga bisa harus ada akte kelahiran dan harus kekelurahan sesuai ktp sedangkan kita perantaujauh dari rumah,1,BCAMobile_reviews
hari ini lagi eror kah apk tidak bisa di akses,1,BCAMobile_reviews
ini kenapa ya mau buka info saldo sudah masukin kode balesan ny sim card sudah tidak di gunanya lagi padahal ga ganti sim card,1,BCAMobile_reviews
makin hari makin nggak bener nih aplikasi sinyal normal tapi indikator merah terus tiap mau transaksi kok ada gangguan terus jadi males gunain mbanking bca,1,BCAMobile_reviews
stiap jam mlm pendingbtrs,1,BCAMobile_reviews
parah bgt nih aplikasi yg sekarang gila,1,BCAMobile_reviews
sering qr gagal tapi kepotongnelpon hallo bca gal berguna diganti juga engga,1,BCAMobile_reviews
ada jh gangguanya bca ampungw kurangin bintangnyhmkin jlek mbking,1,BCAMobile_reviews
update mulu,1,BCAMobile_reviews
please kok force close gini si,1,BCAMobile_reviews
brengsek susah banget vermuk,1,BCAMobile_reviews
transaksi qris gagal tapi saldo terpotong di inbox menu qris tidak ada tapi di mutasi rekening terpotong sudah buat laporan tapi penanganannya lambat sampai sekarang sudah hari belum ada kejelasan,1,BCAMobile_reviews
buruk lemot,1,BCAMobile_reviews
update versi terbaru malah sering force close parah ya,1,BCAMobile_reviews
sudah di update ke versi uninstall trs download lg malah tdk bs diproses bagaimana ini ada apa dengan bca,1,BCAMobile_reviews
tiba eror terus pas mau verifikasi ulang pesan yang harus dikirim nya malah tidak muncul juga,1,BCAMobile_reviews
payahhhkmaren persoalan di verifikasiskarang download yg susah hmmm,1,BCAMobile_reviews
mau verifikasi wajah aja susahnya minta ampun mbanking dan rekening pribadi aja ribet,1,BCAMobile_reviews
diupdate versi malah sering for closed di uninstall di install kembali tetap saja bug sistem benerin dulu dari kemarin sampai sekarang tidak bisa dipakai,1,BCAMobile_reviews
malah d update malah keluar sendiri ga bisa masuk aplikasi,1,BCAMobile_reviews
kecewa dengan qris nya saldo berkurang transaksi gagal,1,BCAMobile_reviews
versi baru parah sih verifikasi wajah gagal terus,1,BCAMobile_reviews
bangke lheror mlu,1,BCAMobile_reviews
ga bisa jaga privasi nasabah,1,BCAMobile_reviews
ini kenapa jadi tidak bisa di buka lagi sih,1,BCAMobile_reviews
video call putus terus dah x gak jadi buka rekening nya,1,BCAMobile_reviews
suka eror eror an gajelas,1,BCAMobile_reviews
g bisa updateharus ganti hp,1,BCAMobile_reviews
