content,clean_text,score,bank
kayak lapet sekarang aplikasinya asik indikator merah terus padahal jaringan bagus,kayak lapet sekarang aplikasinya asik indikator merah terus padahal jaringan bagus,1,BCAMobile_reviews
Trs aksi tdk masuk2 sdh 24 jam masih proses bca aneh gak habis pikri,trs aksi tdk masuk sdh jam masih proses bca aneh gak habis pikri,1,BCAMobile_reviews
"Gagal di bagian verifikasi wajah padahal wajah di KTP gk beda"" amat",gagal di bagian verifikasi wajah padahal wajah di ktp gk beda amat,1,BCAMobile_reviews
Fitur edit/penghapus riwayat transfer malah dihapus,fitur editpenghapus riwayat transfer malah dihapus,1,BCAMobile_reviews
Saya cuma mau buat rekening dgn cara online. Tapi gk di approve. Mungkin lebih dari 10 kali sy vidcall untuk verifikasi tapi nggak juga di approve. Sy buat di bank lain untuk rek online cuma 5 menit jadi. Tolong dong di mudahkan. Jangan gitu dgn calon nasabah baru. Masa pelit banget cuma mau pindahan,saya cuma mau buat rekening dgn cara online tapi gk di approve mungkin lebih dari kali sy vidcall untuk verifikasi tapi nggak juga di approve sy buat di bank lain untuk rek online cuma menit jadi tolong dong di mudahkan jangan gitu dgn calon nasabah baru masa pelit banget cuma mau pindahan,1,BCAMobile_reviews
Tiap nabung kesedot mulu jadi mls nabung di bca,tiap nabung kesedot mulu jadi mls nabung di bca,1,BCAMobile_reviews
"Ga bisa login, sampah",ga bisa login sampah,1,BCAMobile_reviews
Koneksi lancar tapi mau masuk ke aplikasi tidak bisa koneksi terputus,koneksi lancar tapi mau masuk ke aplikasi tidak bisa koneksi terputus,1,BCAMobile_reviews
"Kenapa susah untuk daftar mbanking,tidak bisa d klik persetujuan,tolong di bantu",kenapa susah untuk daftar mbankingtidak bisa d klik persetujuantolong di bantu,1,BCAMobile_reviews
Aplikasi skarang kluar mlu. Udh instal download hapus chace hapus data restart pake Wifi pake data pasti stiap d buka langsung kluar sendiri hadeeh.,aplikasi skarang kluar mlu udh instal download hapus chace hapus data restart pake wifi pake data pasti stiap d buka langsung kluar sendiri hadeeh,1,BCAMobile_reviews
"sementara transaksi tidak dapat di proses silahkan ulangi beberapa saat lagi,asu dari tadi di spam gabisa ancokkk asu",sementara transaksi tidak dapat di proses silahkan ulangi beberapa saat lagiasu dari tadi di spam gabisa ancokkk asu,1,BCAMobile_reviews
selalu keluar sendiri aplikasinya,selalu keluar sendiri aplikasinya,1,BCAMobile_reviews
"Sistem sedang tidak tersedia trus nih bos aplikasi pas mau trasfer, lagi urgen bisa2nya bgini.. Ada pemberitahuan MT pun ngga.. Makin kemari makin sampah bner nih aplikasi.. Tolonglah kalo bikin aplikasi yg bener QCnya.. Makin kemari bukan makin bner malah ada aja error2 yg barunya lagi.. Kocak2",sistem sedang tidak tersedia trus nih bos aplikasi pas mau trasfer lagi urgen bisanya bgini ada pemberitahuan mt pun ngga makin kemari makin sampah bner nih aplikasi tolonglah kalo bikin aplikasi yg bener qcnya makin kemari bukan makin bner malah ada aja error yg barunya lagi kocak,1,BCAMobile_reviews
"masa iya pake Qris ga kebayar karna error, tp uang kesedot. uang smpe skrng blm balik jg",masa iya pake qris ga kebayar karna error tp uang kesedot uang smpe skrng blm balik jg,1,BCAMobile_reviews
"Lagi urgent malah maintenence, taeeeekkkkkk......lah. Ini kenapa lagi, gak bisa TF ke BNI...???",lagi urgent malah maintenence taeeeekkkkkklah ini kenapa lagi gak bisa tf ke bni,1,BCAMobile_reviews
Maaf ini kok stelah update lampu indikator merah terus...padahal sudah saya restart hp saya terus sudah saya mode pesawat tetep aja gak bisa... mohon penjelasanya.....,maaf ini kok stelah update lampu indikator merah teruspadahal sudah saya restart hp saya terus sudah saya mode pesawat tetep aja gak bisa mohon penjelasanya,1,BCAMobile_reviews
"aplikasi BCA mobile akhir2 ini knp ya tidak bisa cek saldo atau lainya, begitu klik info saldo atau mutasi langsung ke menu awal, dan selalu gagal meski dicoba berulang kali keesokan harinya",aplikasi bca mobile akhir ini knp ya tidak bisa cek saldo atau lainya begitu klik info saldo atau mutasi langsung ke menu awal dan selalu gagal meski dicoba berulang kali keesokan harinya,1,BCAMobile_reviews
stres saldo suka ilang sendiri,stres saldo suka ilang sendiri,1,BCAMobile_reviews
Perasaan br di upgred 2 hr yg lalu..udh mnt d up gred lg aj..semingu bsa 3x/4x upgred,perasaan br di upgred hr yg laluudh mnt d up gred lg ajsemingu bsa xx upgred,1,BCAMobile_reviews
"sending teross ni aplikasi, udah seharian nungguin tetep aja sending",sending teross ni aplikasi udah seharian nungguin tetep aja sending,1,BCAMobile_reviews
"segitu susah nya vertifikasi wajah, aplikasi bukan untuk mempermudah, malah mempersulit. IT BCA pada gak bisa kerja apa?",segitu susah nya vertifikasi wajah aplikasi bukan untuk mempermudah malah mempersulit it bca pada gak bisa kerja apa,1,BCAMobile_reviews
"Kuota banyak, jaringan stabil, indikator merah terus",kuota banyak jaringan stabil indikator merah terus,1,BCAMobile_reviews
Maintenance nya lama..pemeliharaan sistem tertulis jam 1-4 ini udah lebih dari jam 4 masih ga bisa di buka,maintenance nya lamapemeliharaan sistem tertulis jam ini udah lebih dari jam masih ga bisa di buka,1,BCAMobile_reviews
Sekarang app saya force close terus,sekarang app saya force close terus,1,BCAMobile_reviews
Verifikasi wajah susah gagal terus.... Harus ke cs wadalahhhhh..... Buruk kali aplikasi ini sekarang susah ribet banget.,verifikasi wajah susah gagal terus harus ke cs wadalahhhhh buruk kali aplikasi ini sekarang susah ribet banget,1,BCAMobile_reviews
Errroooorrr terus dr tdi heran,errroooorrr terus dr tdi heran,1,BCAMobile_reviews
Sehabis update tidak bisa diakses,sehabis update tidak bisa diakses,1,BCAMobile_reviews
tidak terpercaya,tidak terpercaya,1,BCAMobile_reviews
semenjak update terakhir kali mau transaksi lemot bgt delaynya dari notif lampu biru ke ijo,semenjak update terakhir kali mau transaksi lemot bgt delaynya dari notif lampu biru ke ijo,1,BCAMobile_reviews
"Tolong untuk kondisikan aplikasinya, kadang sering ngadat kalau mau transaksi, wahai developer",tolong untuk kondisikan aplikasinya kadang sering ngadat kalau mau transaksi wahai developer,1,BCAMobile_reviews
makin jelek .,makin jelek,1,BCAMobile_reviews
Scan wajah gagal terus..apes,scan wajah gagal terusapes,1,BCAMobile_reviews
Lampu indikator selalu merah padahal sinyal lncarr,lampu indikator selalu merah padahal sinyal lncarr,1,BCAMobile_reviews
"Ngeluh banget sama BCA skrng verifikasinya sulit udah ikutin instruksi KTP tapi pas verifikasi wajah gagal aja. Udah berapa kali dicoba, udah sesuai dengan instruksi foto pas dengan layar sesuai dengan bulatan biru masih aja ga bisa? Tolong si perbaiki lagi buat verifikasi wajah nya",ngeluh banget sama bca skrng verifikasinya sulit udah ikutin instruksi ktp tapi pas verifikasi wajah gagal aja udah berapa kali dicoba udah sesuai dengan instruksi foto pas dengan layar sesuai dengan bulatan biru masih aja ga bisa tolong si perbaiki lagi buat verifikasi wajah nya,1,BCAMobile_reviews
"Bca mobile sampah,,aplikasi sangat buruk masa mau masuk sering di suruh verifikasi ulang Mulu,,,dasar aplikasi sampah",bca mobile sampahaplikasi sangat buruk masa mau masuk sering di suruh verifikasi ulang muludasar aplikasi sampah,1,BCAMobile_reviews
"kenapasiii mau verifikasi sms gabisa muluuu ada bacaan ""sementara transaksi tidak dapat diproses. silahkan coba beberapa saat lagi"" tiap coba gitu lagi, pulsa guee mubazirrr woyyyy",kenapasiii mau verifikasi sms gabisa muluuu ada bacaan sementara transaksi tidak dapat diproses silahkan coba beberapa saat lagi tiap coba gitu lagi pulsa guee mubazirrr woyyyy,1,BCAMobile_reviews
"Hadeeh.. udh lama gk buka apl ini, pas buka kode akses bener trus pin jg bener, trus minta update, setelah update malah pin salah trus pdhal gk di ubah, trus saya kluar masuk lg malah kolom kode akses gk cukup buat nulis kode akses saya, hahaha gimana ini 🤣🤣🤣",hadeeh udh lama gk buka apl ini pas buka kode akses bener trus pin jg bener trus minta update setelah update malah pin salah trus pdhal gk di ubah trus saya kluar masuk lg malah kolom kode akses gk cukup buat nulis kode akses saya hahaha gimana ini,1,BCAMobile_reviews
Kenapa menu editnya di inbok di hilangkan bikin ga nyaman di mata.parah,kenapa menu editnya di inbok di hilangkan bikin ga nyaman di mataparah,1,BCAMobile_reviews
Saya mau daftar m banking selalu ada kendala nomor telepon ajah,saya mau daftar m banking selalu ada kendala nomor telepon ajah,1,BCAMobile_reviews
Sudah selesai download tp kok gagal.,sudah selesai download tp kok gagal,1,BCAMobile_reviews
"Saya ingin menyampaikan keluhan, masa iya saya sudah melakukan top up dari BCA ke Telkomsel sebesar 100.000 ngga ke kirim pulsanya tapi uang dari BCA nya sudah kepotong sudah di cek no telpon nya juga udah bener, ngajuin ke halo bca malah di matiin terus. Gimana tanggung jawabnya?",saya ingin menyampaikan keluhan masa iya saya sudah melakukan top up dari bca ke telkomsel sebesar ngga ke kirim pulsanya tapi uang dari bca nya sudah kepotong sudah di cek no telpon nya juga udah bener ngajuin ke halo bca malah di matiin terus gimana tanggung jawabnya,1,BCAMobile_reviews
"Aplikasi taig, ngabisin waktu doang",aplikasi taig ngabisin waktu doang,1,BCAMobile_reviews
Aplikasi buruk semenjak ada sken wajah jadi susah,aplikasi buruk semenjak ada sken wajah jadi susah,1,BCAMobile_reviews
Eror mulu topup flazz!!!,eror mulu topup flazz,1,BCAMobile_reviews
lemot parah udah pk Wi-Fi juga,lemot parah udah pk wifi juga,1,BCAMobile_reviews
udah download 5 kali buat update tapi tetep gabisa digunain yg keluar tulisan suruh update mulu padahal lagi urgent,udah download kali buat update tapi tetep gabisa digunain yg keluar tulisan suruh update mulu padahal lagi urgent,1,BCAMobile_reviews
"Bca sekarang tambah ribet pakek acara verifikasi wajah ujung""nya juga gak bisa rencananya mau pindah pakek bank lain saja jika bca semakin ribet",bca sekarang tambah ribet pakek acara verifikasi wajah ujungnya juga gak bisa rencananya mau pindah pakek bank lain saja jika bca semakin ribet,1,BCAMobile_reviews
Gabisa dibuka di hp huawei krn mengandung malware sm nyuri info pribadi di huawei protectnya,gabisa dibuka di hp huawei krn mengandung malware sm nyuri info pribadi di huawei protectnya,1,BCAMobile_reviews
"sangat kecewa,verifikasi wajah selalu gagal,padahal wajah asli saya sendiri. gagal 3 kali diblokir lalu suruh hubungi bca service tlvon habis 20k cuma dikasih panduan daftar ulang nomor handphone setelah saya lakukan dan coba login m bca lagi verifikasi gagal lagi.dan blokir lagi kenapa sekarang seperti ini???",sangat kecewaverifikasi wajah selalu gagalpadahal wajah asli saya sendiri gagal kali diblokir lalu suruh hubungi bca service tlvon habis k cuma dikasih panduan daftar ulang nomor handphone setelah saya lakukan dan coba login m bca lagi verifikasi gagal lagidan blokir lagi kenapa sekarang seperti ini,1,BCAMobile_reviews
ini kenapa verifikasi ulang terus? boros pulsa klo gini mulu,ini kenapa verifikasi ulang terus boros pulsa klo gini mulu,1,BCAMobile_reviews
"maaf kalo saya kasih rating 1, karena mau ambil Qris rekening sendiri gak bisa",maaf kalo saya kasih rating karena mau ambil qris rekening sendiri gak bisa,1,BCAMobile_reviews
"rusak ni app pak verifikasy gagar trus, udah bagus2 yg kemarin malah di ubah2 lg tolong dong cpt di perbaikin bikin org susah aja, cabang bca saya soalnya jauh kali dari rumah,,,",rusak ni app pak verifikasy gagar trus udah bagus yg kemarin malah di ubah lg tolong dong cpt di perbaikin bikin org susah aja cabang bca saya soalnya jauh kali dari rumah,1,BCAMobile_reviews
"woi ini gmna si, semua aksebilitas uda matii masi aja tetep force close plis laa penguna banyak tapi dari segi kualitas aplikasi malah menurun",woi ini gmna si semua aksebilitas uda matii masi aja tetep force close plis laa penguna banyak tapi dari segi kualitas aplikasi malah menurun,1,BCAMobile_reviews
"Kocakkk gw ga bisa login ke bca nya , tiba tiba keluar sendiri anehhhh",kocakkk gw ga bisa login ke bca nya tiba tiba keluar sendiri anehhhh,1,BCAMobile_reviews
Saldo tau2 kepotong dicek di mutasi rekening gak ada histori nya gak jelas potongan apa... 😤😤😤😤😤😤😤😤😤😤,saldo tau kepotong dicek di mutasi rekening gak ada histori nya gak jelas potongan apa,1,BCAMobile_reviews
kok aplikasi tdi bisa di buka?,kok aplikasi tdi bisa di buka,1,BCAMobile_reviews
Mohon beri menu Edit untuk hapus histori transfer,mohon beri menu edit untuk hapus histori transfer,1,BCAMobile_reviews
Habis update tgl 17 Okt 2024 malah gak bisa dibuka aplikasinya...,habis update tgl okt malah gak bisa dibuka aplikasinya,1,BCAMobile_reviews
"Kenapa ya lampu indikatornya merah terus padahal sinyal bagus, tolong diperbaiki",kenapa ya lampu indikatornya merah terus padahal sinyal bagus tolong diperbaiki,1,BCAMobile_reviews
Kenapa bca mobile saya eror terus yah,kenapa bca mobile saya eror terus yah,1,BCAMobile_reviews
Apk ribet mau transaksi aja nunggu lampu indikator hijau dulu,apk ribet mau transaksi aja nunggu lampu indikator hijau dulu,1,BCAMobile_reviews
"Aplikasi verifikasi ulang susah bngt, udh daftar di ATM giliran ke aplikasi susah loginnya. Astaga....",aplikasi verifikasi ulang susah bngt udh daftar di atm giliran ke aplikasi susah loginnya astaga,1,BCAMobile_reviews
wadidaw,wadidaw,1,BCAMobile_reviews
bagai mana dengan privasi nasabah,bagai mana dengan privasi nasabah,1,BCAMobile_reviews
Pas mau download lg app m.bangking ya ada hp satu yg nyangkut jadi eror trus stiap transaksi,pas mau download lg app mbangking ya ada hp satu yg nyangkut jadi eror trus stiap transaksi,1,BCAMobile_reviews
