Singkatan/Slang,Frekuensi,Contoh Ulasan 1,Contoh Ulasan 2,Contoh Ulasan 3
bangettttt,18,[BCAMobile] kecewa bangettttt signal full indikator merah terus mau transaksi sampe gajadi malu maluin ga berguna,[BRImo] parah banget penanganan masalahnya call centernya lama bangettttt ga gesitt nelpon suruh nunggu menit sampe menit ga kejelasan tbtb langsung dimatin tlpn kaco sih gila,[BRImo] tuhan mau daftar via brimo aja susah bangettttt yg sama gak si
gedeg,18,[BCAMobile] biasa pake bri yg super mudah pake bca mobile bikin gedeg menu menu nya bikin ribetttttttt jadul sampe slah kirim anjirrrr,[BRImo] aplikasi brimonya tiap buka langsung close sendiri hapus data instal ulang aplikasi restart hp tetap gk bawa kantor bri sampe jam otak atik petugasnya dg berbagai cara tetep bisa ujung nya malah entengnya bilang hp yg rusak suruh di flash ulang heyyyyy aplikasi lainnya aman loh yaaaaa aplikasi brimo yang errorrrrr sumpah gedeg banget nih aplikasi sama petugas sama error,[BRImo] apk nek bukak ko njaluk update wae kocak mbok yo bln skli apa gimna gk tiap mau tf ap yg update trus maraih gedeg
hrsnya,18,[BCAMobile] update malah makin susah masuk hrsnya klo update terkini tecnologinya n prosesnya lebih baik kok malah makin susah nasabah kayak aku aja jadi berpikiran pindah bank nih,[BCAMobile] aplikasinya kok jd sering keluar sndiri sih benerin lg donk baru buka aplikasi langsung keluar menanggapi balasan dr admin hrsnya aplikasinya yg benerin bukannya yg user suruh setting itu krn gk semua user ngerti paham settingan hp dr dulu hrs setting apa aplikasi bs di jalankan update malah error parah bgt dah bca,[BCAMobile] kok buat mobile bca online skdg susah n ribet n gagal terus pulsa smp abis mdndjnv lzg k bznk mnt tlg sm cs dech g abiz pulsa tp krn aku daerah klaten susah k bank nyz vmn bca hrsnya kl bs online d mudahkan potong pulsa
sangt,18,[BCAMobile] lampu biru sangt mengganggu dalm tansksi jadi lamabt nunggu lampu hijau dulu,[BCAMobile] ayo tarik uang kalian dri bank bank yg kita sangt berkelas jga privasi nasabah acak ini,[BCAMobile] sya sangt puas dngn adnya bca mobile
berfikir,18,[BCAMobile] bank swasta bank milik negara serba cacad bidang software cuma bikin aplikasi aja leletnya minta ampun bilangin it nya bca suruh banyak belajar deh masa orang mau transfer nunggu hari esok kalau mau maintenance gangguan minimal h info via email sms berfikir seperti itu aja gasampe,[BCAMobile] cuma mau nanya nih gunanya apa sih membuat sistem sim dipakai sim apa bedanya sebenarnya mau di sim selama kartu sim di hpnya ribet sih perkara kartu sim dipindah slot sim slot sim aja harus verifikasi ulang berfikir keras harus sistem seperti fungsinya itu loh buat apa masuk akal kalo misal kartu sim dilepas cuman pindah slot doang woyy,[BCAMobile] saat urgent bisa andalkan bca makin kesini makin membuat customer berfikir kali bertransaksi di fikir ulang kedepannya dampak bisa transaksi membuat customer kesal
ktika,18,[BCAMobile] trllu ribet kurang memuaskan ktika daftar mobail bca meski wajah identitas nasabah udah jelas tetep sulit cuma ktp baret doang ko prsulit,[BCAMobile] bintang dlu ktika mau log in pmberitahuan bhwa aplikasi telah bnyk dilaporkan sbgai aplikasi palsu mksdnya gmn sya mau log in jdi ragu benerin,[BCAMobile] sistem baru sangat menyulitkan nasabah uda lama ga buka rek bca pas buka cabang diarahkan buka lwt m bca krn ktp terdeteksi mesin pdahal fisiknya bagus ktika buka lwt m bca prosesnya terlalu sulit pas berhasil tiba hp mengalami error shingga me restart semuanya akhirnya pas mau buka lwt m bca gatau knpa gagal ga terus dulu pakai sangat dimudahkan krn sistem baru sangat menyulitkan nasabah
pen,18,[BCAMobile] apk lawak gua pen daftar kgk mulu kocak,[BCAMobile] kan habis reset hp trus login tapi koneksinya terputus terus gimana cara login nya kalo kek gini halo bca juga sama aja benerin kek niat pen simpel malah ribet masak bolak balik atm,[BRImo] susah banget pen bayar aja nutup apk pas dah tutup semua apk tetep aja gada yg brubah nyusahin buat bayar aja
trjadi,18,[BCAMobile] knapa bca mobile terus aj ga d buka hari sbatu masi sya gunakan tarik non tunai hari setelah update trjadi bug ga login mohon bantu,[BCAMobile] dong qris sering trjadi gangguan,[BCAMobile] force close lagiii hahhh seriusan trjadi di m bca ku sabtu tgl udh skrg senin oktober force close lagiii payahhh pdhl talkback lain nya nonaktif
ngaku,17,[BCAMobile] versi terbaru hapus cache data uninstal instal tetep ga forclose terus liat komen nyaranin bla bla ga ngaku versi ny jelek perbaiki update ny,[BCAMobile] gimana sekelas bca data pribadi bocor bos penipu ngaku bca pusat nawarin kredit cek get contact ratus tag namain penipu data semua dipegang penipu bos,[BRImo] mau complain gimana tf orang cod x padahal tf uma x minta balikin uang gue orang cod nya malah ga ngaku padahal ket gue tf x uang kekuras juta jadi nya aneh gue sama app kecewa banget rugi hilang juta aku balikin uang juta aku wahai brimo
gilaa,17,[BCAMobile] habis updet malah lemot parah gilaa,[BCAMobile] gilaa abis update malah gbisa login aneh bca setres,[BCAMobile] lepas kartu sebentar verifikasi makan pulsa ndak berhasil teruzss alhirnya pulsanya mubazirrr udh gitu sinyal jelek keluar akunyaa verifikasi lagii udh gilaa kali yaa
ihh,17,[BCAMobile] parah ihh jamnya berputar trus gunakan qris lemot kalipun,[BCAMobile] sumpah ih aneh banget kesel bangett tiap verifikasi selalu gagal teruss jdi nya buang pulsa ihh bete banget nya memudahkan nasabah jadi menyusahkan nasabah kalo kaya gini kan jadi nya dateng k kantor bca nya langsung udh beberapa kali instal uninstal tetep aja kaya gitu plis lahh bete banget,[BCAMobile] parah bangett selvi data diri udh benar d suruh ngulang parah banget trus d suruh daftar melalu atm bca ihh parahh
aza,17,[BCAMobile] semua org kendalanya sama aplikasi bs dibuka semenjak update versi terbaru apk slalu forceclose padahal sebelumnya aman aza sampe ini ga solusi yg bener jawaban dr admin itu terus ada penyelesaian sm sekali,[BCAMobile] sih sekarang aplikasinya makin jelek lampu indikator selalu merah direstart dulu baru kadang kadang direstart gak padahal signal internet bagus buka aplikasi lancar lancar aza dong diperbaiki soalnya dulu gak kayak gitu sekarang aza makin parah kalo penting mau dipakai ngak jadi nyebelin banget,[BCAMobile] ambil tunai alfamart indomart yg baru buka gak alesan baru buka gimana kalau butuh banget siap kapan aza atm bca sedikit susah
amatt,17,[BCAMobile] aplikasi kek taii verivikasi susah amatt udah abis pulsa banyak ttep aja,[BCAMobile] ngabisin pulsa masuk susah amatt lah smsnya gratis aja woy ampunnn gaji di dalemnya masuk kagak hadehhhh terus ngambilnya gimana coba lah,[BCAMobile] pulsa dah abis k knpa ga bisa verivikasi mbankking nya sgra prbaiki inih prusahn gede masa lmott amatt
oprasi,17,[BCAMobile] mengecewakan ganti handphone mau registrasi sms nya gagal terus loading terus x ngisi pulsa ahirnya suruh rgistrasi atm vermuk gagal teruusssss padahal wajah gk oprasi emang asuuuuuu,[BRImo] mencoba daftar cuma gak katanya muka gak sama ktp iya lah orang poto ktp lama bukan hasil oprasi wkwkwk,[BRImo] gatau ribet banget cuma buat login selalu gagal tahap verifikasi wajah apa perlu oprasi wajah dulu bisa login brimo pembukaan akun aja ribet banget
tingal,17,[BCAMobile] baru kalo pake mbangking serumit awal pake bingung krn mau transfer aja ribet gak kayak mbangking tingal masukin no tujuan nominal transfer selesai sini simpan dulu trus kirim sesama bank aja bingung harus nonton tutorial youtube sama mau isi pulsa aja ribet banget kalo buka terima gaji malas sekali pake mbangking bca ya dirubah biar gak terlalu ribet jangan balas nanti kami proses masukan ibu gak di rubah sy yakin,[BCAMobile] pas isi saldo pertama duitku hilang rb gk sesuai nominal yg bayarkan kenapa waktu saldo tingal sedikit cek saldo malah saldoku nol hilang bank apa perampok tujuan menabung malah rampok,[BCAMobile] ribet banget skrang dulu mau masuk mbangking tingal konfrim kode udah jd sekarang fto ktp lah foto diri lahhh ktp ilang ga masuk njinggg
nyobain,17,[BCAMobile] bca gmn setelah update otomatis knp jd ga bs d buka mbankingnya smlam pdhal sy udh nyobain cara yg ad d youtube smpe sy unistal trus instal lg tp ttp msh sm aja scepatnya serfernya d perbaiki krna banyak pngguna yg d rugikan untuk transaksi jd trhambat,[BCAMobile] nyobain tf m bca ko ga masuk uangnya adakah yh sama saya gan mohon bimbingannya,[BCAMobile] kenapa si gak verifikasi hp baru udah hari nyobain gak padahal signal bagus pulsa terisi tp gak juga jadi ribet mau klo mau tf dong solusinya
dpn,17,[BCAMobile] susah banget verifikasi muka udah gw tempelin dpn kamera tetep susah,[BCAMobile] knp sekarang mutasi sama warnanya masuk sama keluar beda warna terus nyari nama satu satu biasa tulis huruf dpn langsung muncul kok skrng jd tambah ribet bukanya semakin gampang kecewa banget ribet gini,[BCAMobile] gk vermuk kamera dpn rusak gk solusi apa biar gk vermuk
hapusin,17,[BCAMobile] di upgrade kemaren inbox transaksi ga di hapusin,[BCAMobile] sudah dowlod aplikasi ny berhenti sendiri ruang penyimpanan sudah hapusin msih bisa pertama bisa mskin ko susah ngedowlod ny,[BRImo] update nya ngambil penyimpanan nya ga ngotak udh hapusin memory nya ga cukup
bkan,17,[BCAMobile] update bkan mlah bner qris jd kgk berfungsi udh dicba smua cra ttap aj g bsa digunain,[BCAMobile] ksih bintang cma mutasi rekening yg gk detail hrusnya saldo bkan cma db cr nya,[BRImo] knp username aja susah bgt knp hrus sesuai nma kan nmanya panjang mna cukup lah coba username apapun ttp ga bsa bkannya memudahkan mah mlah menyulitkan pdhalkan cman username bkan nma rekening ko susah
bagusss,17,[BCAMobile] aplikasi aman gak kok komenya serem bgt seh akhh gak mau upgrade dlu deh komenya gak yg bagusss,[BCAMobile] kurang canggih verif ajaa lama banget pedahal sinyal bagusss,[BCAMobile] coba kasi fitut yg lebih bagusa lebih tata aplikasinya juga kasi data transaksi kliar masuknya uang sperti bri mo ataupun kayak dana bagusss jelassss
paraah,17,[BCAMobile] noll praivesi yg prioritas aja beberkan rex korannya paraah,[BCAMobile] bca sama aja ribet kurang aman pembayaran qris gagal saldo potong inbox tdk bukti tf nya paraah kurang aman,[BCAMobile] kacau bngt berkali verifikasi wajah gagal terus dsuruh cba terus itu ga ampuuun paraah pdhl udh lama bngt pake mbanking bru ga masuk cma gra vrfks wjah tlong dong diperbaiki ribet jadiny mna lg btuh
ajha,17,[BCAMobile] knp gk bsa masuk akun bcanya padahal kemaren a lancar ajha transaksinya ahir malah gk bsa,[BRImo] apa lah bri nih udh kyk maling ajha niat nyimpen duit buat tabungan malah ambilin mana sisa in cuma perak skalinya isi pas mau bayar blanja an malah non aktif kan bank buat nyimpen duit apa cuma buat ngisi perut klen anj ng tiap bulan saldo gua potong kan babi caption nya aja bagus hadir memudahkan harimu memudah kan gigi mu ompong,[BRImo] terdaftar cuma mentok pengambilan foto ktp gagal terupload fotonya bagus alih bni ajha bri banyak kendala tidak bisa diatasi
megang,17,[BCAMobile] aneh gak hujan gak angin gak visa buka aplikasi keluar sendiri balasan dev ngajarin nya kayak orang baru megang hp aja udah hapus data instal ulang gak hasil ingat woii login apk butuh pulsa bayar admin tiap bulan sorry gw turunin rating nya,[BCAMobile] kalo gangguan ga ada konfirmasi dari m banking kalo yg megang sistem ecek gajih pengen gede doang,[BCAMobile] vermuk susah banget giliran vermuk megang hp teler nya susah banget pengen verifikasi
bangeet,17,[BCAMobile] sumpaa capek bangeet harus verifikasi siih tiba keluar sendiri sumpa ribet banget,[BCAMobile] please bangeet harus update aplikasi ternyata jadi repot banget udah baca ulasan sini otak atik aksesibilitas nonaktifkan semua restart berulang kali tetep aplikasi enggak digunakan,[BCAMobile] pelayan bagus nunggu antrian lama jam ganti nomor bca mobil banking giliran pas nomor antrian panggil kata nya mentanice sistem eror kecewa bangeet gak solusi nya tuh bang bca
fotoin,17,[BCAMobile] rempong riweh pake verifikasi wajah padahal udah sesuai orangnya sama hadeh ngrepotin bolak balik fotoin ktp verifikasi wajah tetep gak gak kalo gtu aplikasi,[BCAMobile] makin kesini makin kaga jelas aplikasinya berkali kali fotoin ktp terus ngisi data terus scan wajah gagal terus buang waktu aja makin kesini makin ribet,[BRImo] susah bangat login nya kalau ganti hp minta otp minta fotoin ktp minta selfi udah diturutin udah berhasil login pas log out mau login pake fingerprint suruh login manual minta ulang tadi minta itu pas isi benar transaksi gagal karna berulang lah sendiri yg minta diulang alhasil ujung nya keblokir yang arti nya apa yup datang kantor nya bri cuma buat login ulang aplikasi brimo nya sangat menyusahkan
kacauuuu,17,[BCAMobile] untung gw pake bca haha kacauuuu semoga cepat bangkrut,[BCAMobile] habis update parah banget tiap mau buka mbca restart hp dlu selalu bilangnya nonaktifkan aksesbilitas pdahal uda ga aplikasi apapun yg pake aksesbilitas kacauuuu lah yg bener pindah bank kalau ribet gini terus hp rusak restart terus,[BCAMobile] tiba tiba disuruh verifikasi lalu coba gagal terus hubungi call center bca dibilang aktif bca mobile nya kok digunakan terus menerus disuruh verikasi masukan nomer kartu atm tetap gak bisa sayang banget pulsa kebuang percuma cuma buat sms nyatanya tetap bisa digunakan aplikasi mobile bca nya kacauuuu
apaaa,17,[BCAMobile] kesal disuruh tunggu di hubungi cs dijawab di anggkat call nya mau nya apaaa,[BCAMobile] apaaa merah dah direstart gabisa aneh bengak,[BCAMobile] apaaa pake scan wajah dulu nyaman pakai bca mobile banking sekarang sangat mengecewakan
agk,17,[BCAMobile] vermuk nya agk sulit kamera bagus,[BRImo] selalu salah pas verifikasi wajah padahal udah bener teliti pas dikamera nya perasaan dulu ga se ribet apa krna beda muka ktp lh ktp udah lama udah agk burem jadi wajar klo beda dikit,[BRImo] macet error terus agk kecewa mohon perbaikan
lohhh,17,[BCAMobile] ya di update versi terbaru jadi sedikit lemot berat mudah an secepatnya normal sediakala bca gitu lohhh,[BCAMobile] setelah update malah jadi sering blank mbca merespon gini si cek lahhh nya jos lohhh edit baru update malah gak buat tf coba cek app nya bug kolom rek tujuan udah di klik rek tujuan gak nampil rek tujuannya,[BCAMobile] nelepon cs nya sakit hati mungkin karna malam jam dialihkan terus mode tunggu kalaupun dijawab pura pura denger juga kalau urgent akan minta bantuan lagian infonya cs tersedia jam malam bukan apa apa pulsa nungguin aja udah abis rb masalah selesai semua orang nganggap remeh uang rb dua kali jatah makan lohhh sedih sumpah
btul,16,[BCAMobile] sering btul bca eror mulu wktu sempat qris mutasi trkirim tp dilaporan inbok gk trkirim dananya gak masuk,[BCAMobile] bca kok skrg pake verifikasi wajah udh btul verifnya tp kok gagal trs,[BRImo] sih brimo suka btul skrg ndk login
kyknya,16,[BCAMobile] buruk layanan aplikasinya buka rekening baru online ribet udah lah berbayar kirim sms nya gak kunjung link buka rekening barunya malah suruh call ngabisin pulsa aja bank gak seribet kyknya gak berbayar untuk link sms pembuatan rekening baru,[BCAMobile] akses lokasi buat apa kyknya gk relates banget sama keamanan nasabah deh,[BRImo] transaksi malah ribet notifikasi harap tutup aplikasi padahal tdk apk yg d buka sdh restart sdh update akhirnya pake apk yg mudah tdk ribet kyknya yg pegang it brimo otak e dangkal bodoh apk kok malah bikin ribet
jing,16,[BCAMobile] jing tambah lemot n ribet aplikasi makin tolol,[BCAMobile] b jing an telfon call service jam malam atas gak yg standby apa malah suruh dengerin lagu urgent gak yg di telfn bgs t,[BCAMobile] forceclose mulu jing abis diupdate kalo disuruh menonaktifkan fitur accessibility service talkback screenreader text to speech sini gua tempelin hp gua jidat eloh
ngilangin,16,[BCAMobile] wah update nya bermasalah nge bug udah dihapus memory hapus data uninstal restart ulang non aktifin aksesibilitas tetep aja force close mending dirilis update terbaru buat ngilangin bug nya nih payah repot kalau gini,[BCAMobile] gmn sih bca abis perbaharui malah gak hapus riwayat tf kirain fitur yg lebih bagus ini malah ngilangin jadi gak hapus riwayst transferan balikin dong fitur hapus riwayat tf nya,[BCAMobile] hbis update malah ancur ajh nie mbca versi hpe hrus v apa kudu beli hpe baru bisa ngakses aplikasi mbca mna ribet hrus kluar pulsa buat verifikasi smpe segitunya bank sekelas bca membutuhkan dana ngambil dri biaya sms verifikasi wajah yg selalu ggal update tu buat ngilangin bug mempermudah customer bukan malah mempersulit memberatkan
cobain,16,[BCAMobile] kenapa lama banget erorny force close terus uda cobain cara berkala nonaktifin talkback ttp ngga mau uda uninstall lalu instal masih ngga juga gimana caranya,[BRImo] verifikasi email kadaluarsa mulu ni susah dah udah hp cobain tetep ae sama udah ganti email tetep ae gitu terus ribet sih brimo sekeluarga mengucapkan bintang brimo brimo ribet,[BRImo] woyyyy mau bikin username gk cokkkk seharian cobain bolak balik bisa bisa tolol benerrrrrrr
sam,16,[BCAMobile] bisa dibuka stlah update dicoba paksa berhenti sam saj blum berhasil hari bisa dibuka bca mobile,[BCAMobile] kalau siap sam fitur deteksi wajah biometrik jangan dipakai memang lebih aman saking amannya sampe nyusahin pengguna asli buat masuk,[BCAMobile] ribet nya mau log in gagal trs padahal sms premium terkirim pulsa bolak balik terpotong saja katanya koneksi internet terputus padahal jaringan bagus jauh sam livin mah aplikasi jaman purba
expresi,16,[BCAMobile] buat potongan admin gak jelas bgt dulu k trs k makin kesini sebulan dipotong x anying sekali motong k sebulan k buat tahapan expresi udh cek padahal ketentuannya k an ga ngotak awal bulan sama akhir bulan jatuh tempo udh potong kere lu bca hah,[BCAMobile] kak kalo yang transfer bank no rekening pengirim yah lihat kan apk yah mode gelap terang kan di jaman skrng banyak yg pakai mode gelap phone yah dan kalo mutasi yah di perpanjang lebih lama sedikit jangn cuman hari bagaimana nasib yg pakai tahapan expresi yg gak punya buku tabungan tolong yah kak,[BCAMobile] kayak gak menghargai nasabah sama sekali deh lu prioritas aja lu begituin kayak qw expresi untung qw udah pindah bsi bulan lalu
bgi,16,[BCAMobile] sekarang makin gak jelas sistem nya baru semalem diisi saldo rb pagi dicek sisa rb hilang rb gak laporan arah duit nya cek mutasi kosong bukan masalah nilai uang nya kerja kalian yg transparan untung gak nabung sini habis mutasi gak tanggung jawab ky nasabah yg parah banget sii kalo orang protes ktanya melawan diem seenaknya sikap nya katanya negara demokrasi tpi knpa semena mena krn punya kuasa sbenarnya dipermudah bgi,[BCAMobile] stelah update mlah mnyesatkan bgi yg tdak mmpunyai kartu krena susah liat no atm yg digit angka ny udh msukan user id sma pasword ttep aja susah login web,[BCAMobile] aq bru buka rekening bca isi saldo rb yg nampak rb rb saldo beku tpi dlm wktu hari saldo ku tiba tinggal rb aq cek mutasi rekening tdk ad notifikasi apapun rb nya pdhl akad awal pembukaan rekening perbulan potongannya cuma rb aq cba menguhubungi pihak bca pihak bca tdk mau memberi solusi memberi penjelasan jdi bgi klian jngn buka rekening bca saldo sering hilang tiba pemberitahuan pihak bank pencuri terselubung perbankan
smw,16,[BCAMobile] ganti kartu malah makin kendala terus pertama transaksi qris merchant masuk saldo berkuran sampe ini uang hangus skrg mau tarik tunai saldo kepotong uang ga keluar tlpn halobca ada titik temu tanggung jwb x tlon jwbannya sama smw laporan urgent harusnya perioritaskan,[BCAMobile] update malah gk buka jaringan memori hp gb ditekan keluar sendiri sampah sudh dihapus smw ternyata liat di twiter juga yg sama banyak malahan yg sama,[BRImo] daftar d brimo ribed smw data udah bener tp kode siex mulu
gga,16,[BCAMobile] mengecewakan nih bca transaksi transfer terkirim uang berkurang uang malah gga masuk rekening tujuan bikin malu aja se umur hidup gue baru tau uang udah transfer cuma saldonya ga masuk orang bikin ribut iya jadi fitnah iya kalo bintang mah gue kasih nih aplikasi kacau kacau kacau,[BCAMobile] gga dibuka bca ya,[BCAMobile] kode otp gga masuk
boong,16,[BCAMobile] apk bca mobile buka selalu dengan sendirinya terus terusan tunggu hari satu malam saya coba hapus lalu instal tetap sama aja bisa buka sistem gimana saya mau transaksi jadi kesulitan sama aja boong punya e bangking tidak bisa di buka ga,[BCAMobile] tolol kali yakk kaloo udh aplikasi gausah d suruh keatm sama aja boong kalo gitumahh sekelas atm kalah sama dana,[BRImo] brimo apaan udh daftar malah gak masuk sama ajh boong
samaa,16,[BCAMobile] lah jadi ribet banget si bca udah coba talkback lah aksesibilitas lah off in jaringan udah stabil knpa tetep ga si mau ngasih solusi apaan semua udah lakuin lah kaya biasa aja updatenya ga usah bikin nasabah ribet udah semua lakuin tetep ga sumpah kecewa berat kali samaa bca,[BCAMobile] ribet banget autentikasi wajah astagaaa kan udh pake password pake pin trus simcard jg udh sesuai kali foto ktp sm foto taun kmudian tetep samaa,[BCAMobile] baru buka rekening pungut rb kagett buat mau bikin kartu bca difikir deh untuk rakyat mengah kebawah saya huhu tiba tiba saldo rb ilang karna alesan diendap bank bca trus kalo mau ambil di tutup dulu rekening nya biaya penutupan samaa rb jadi sama aja bohong pokoknya nyesel bgt dah
belain,16,[BCAMobile] maaf kasi bintang gegara belain abu eh malah ngobrak ngabrik data nasabah prioritas bagaimana kami,[BCAMobile] mau login aja susah bngt kirim sms selalu gagal padahal udah belain beli pulsa sinyal bagus tetep ampass susah login ya mungkin jaringan sistem dari pusan nya trobel bs perbaiki supaya nasabah nyaman gak kesulitan,[BCAMobile] dibela belain beli pulsa berkali kali verifikasi via sms trus balek ke bca mobile ehh disuruh verifikasi
naek,16,[BCAMobile] adm tros adm trosssss kmrin rb bulan november udah naek rb bank swasta yg kecil aja ngga pernah admin bulanan loh freee udah bertaun member ngayain konglo aja rb buat masyarakat menengah kbawah tu berarti banget buat beli makan rb bca buat ngayain konglo yg udah kaya raya teller tuh kerja yg bener kantor gua sering bermasalah sama teller elu yg ngga teliti jangan bisanya ngambil biaya admin mulu woi,[BCAMobile] makin sini makin parah sudah sms sampe pulsa abis buat ngatipin m banking bca kok gak gak dapet balesan mengatip kan m banking bca nya padahal bayar pajak loh bulan nya pelayanan nya jadi ini pajak aja pengen naek pelayanan ancur parah,[BCAMobile] bener bener ngeledek nih apk naek versi sampe versi terbaru msh gabisa dipake jga update doang ngabisin kuota tp apk malfungsi kocaggg
le,16,[BCAMobile] mau refound krn kendala mungkin krn sytem tp sdh keterlaluan loh x scan qriss info eror tp sldo lenyap mau refound tp cs susah hubungi intinya hati scan qris meresahkan maaf sy trunkan le bntang krn sy merasa rugikan skali mau hubungi cs jg pake pulsa ta sbg konsumen merasa dirugikan skali kendala op ato system tp konsumen dirugikan maaf slama sy puas skli dgn bca tp hari sy smpekan central asia kok kayak gini layanan pengaduan pke pls trus slow respon,[BCAMobile] semakin update semakin parah mbanking bca skrng semakin le t kalo mau tf qiris nya mohon perbaiki lgi,[BCAMobile] le slyalua alfaczy qoqeota rwiasq aul aetm
banyakin,16,[BCAMobile] jangan banyakin maintenence soalnya sangat mengganggu proses penarikan pembayaran online jangan terlalu banyak update tidak memenuhi memori hp,[BRImo] penyelesaian masalah hari kerja iya orangnya bri gak kerja berarti penanganan aja hari kerja bisa sampe aktual minggu karana hari kerja gaji gede gak kerja kariawan berapa emng bri apa tiap hari masalah sampe ribuan transaksi fikir ratusan kariyawanya puluhan ribu lain kmna ngerjain masalah orang jelas keterangan transaksi gagal dan saldo terpotong pake lama aneh jangan banyakin kasih bonus kalau kerjanya begini pemilik saham,[BRImo] banyakin korupsinya tadinya t jadi t bikin apk scan muka gagal sistem padahal udah pindah gatget
iy,16,[BCAMobile] kenpa d hp tidak d upgrade mohon lekas perbaiki iy,[BCAMobile] iy perasan mau daftar susa bnget gagal mulu dri tadii,[BCAMobile] sy mau verifikasi foto susah nya minta ampun foto gak pas lah ap lh jelas udh dibawah matahari masa iy gk keliatan sih sejelek ny kamera tetap terlihat ko kl pakai cahaya matahari
benarin,16,[BCAMobile] segera benarin apknya jgn bikin nasabah kecewa masa keluar sendiri masuk mau transaksi kan susah jadinya,[BCAMobile] sering gangguan dk transfer antar bank rekening padahal sering benarin bank nya langsung sedikit kecewa sih di perbaiki yaa terima kasih,[BRImo] cepat benarin apk nya
klen,16,[BCAMobile] gaya gayaan sok pake aplikasi mau buka rekening online malah disuruh datang cabang orang buka rek online krn ga waktu keluar kantor malah disuruh cabang hapus aja aplikasi klen,[BCAMobile] bolak balik verifikasi kalau verifikasinya gratis ga masalah harus makek pulsa udh gitu verifikasinya eror terus dah banyak kali pulsaku klen telap,[BRImo] bank yg pelayanan gak pernah memuaskan nasabahnya lambat banyak cengkuneknya sistem klen yg error nasabah disuruh nunggu seminggu lebih pun kelar kalo gak gara gara gajiku sini aja gak mau aku makek klen ya bri
tuhh,16,[BCAMobile] halo minn kan pengen narik uang tidak make kartu nah kan opsi nomor hp tuhh dh masukin minn sama kode dijit minn eh kaga lama bacan transaksi dibatalkan kadaluwarsa gth minn kira yahh min sama min saldonya tetapp disitu min,[BCAMobile] dong bca beli paket data saldo udah kepotong paket data juga masuk tuhh kejadian bukan sekali beberapa kali dikasih solusi di perbaiki yaa,[BCAMobile] si selalu gagal verifikasi sms tuhh berhari hari tetep ga padalah pulsa banyak
mgkn,16,[BCAMobile] knapa bca ga sprti dulu jaringan intenet bca buruk sgt buruk bagus ga pernah troble kpi intenet dulu bgus jaringan bca knapa krg buruk mau login tapi transaksi gagal saldo kepotong cek plafon qrs yg dibayar ktnya ditolak mgkn sudah hrs leave bca klo kya gini terus,[BCAMobile] kacau aplikasi sering gk konek gk dipakai padahal jaringan bagus mgkn salah satu trik bca nahan duit costumer aplikasi update makin hancur sehancur hancurnya parahhhhh it nya tamat apa ya kok bisanya buat aplikasi begini perusahaan sebesar bca hadehhhhh,[BCAMobile] sekarang kalo uninstal ganti hp menggunakan mobile bca dipersulit verifikasi data diikuti prosedur tahap akhir scan wajah selalu gagal mgkn nasabah pun sama tdk yg berhasil tdk dulu bca sekarang mempersulit pdhl sy lama jadi nasabah
tnggl,16,[BCAMobile] gimana si masa dalam satu bulan ambil saldo x pertama rb terus kemaren tanggal ambil rb sekarang tnggl ambil rb kenapa mohon dong min perbaiki itu tidak mutasinya,[BCAMobile] hari tnggl gajian saya g punya kartu bca klo ambil uang pake bca mobile tp indikator merah terus woi duit gua udh habis gabsa makan cokkkk,[BRImo] kok minta update lgi udah update pda tnggl agustus
laa,16,[BCAMobile] aplikasinya ga digunakan cara biar digunakan gmn laa,[BCAMobile] woi gmna si semua aksebilitas uda matii masi aja tetep force close plis laa penguna banyak dari segi kualitas aplikasi malah menurun,[BCAMobile] abal abal verifikasi wajah gagal klo gak siap ai jgn bikin sulit merepotkan klo pindah hp foto foto berulang masi gagal baiknya diperbaiki laa
bgtttt,15,[BCAMobile] bca udah ga amannnn bgtttt tolongggggggg,[BCAMobile] lama bgtttt pemeliharaan sistemnya,[BCAMobile] jelek bgt tbtb keluar terus terusan diarahin cs bca cuma hal basic ttp gabisa katanya dicoba berkala aja apa bca tumben bgtttt astagaaaa
buanget,15,[BCAMobile] bca please deh neken apk bca lemot banget padahal udah pake wifi selalu merah transaksi saya inginkan dibenerin please buanget,[BCAMobile] aplikasi kok lampu hijaunya lama buanget eror apa inu,[BCAMobile] masa transaksi ribu buat beli pulsa gk sih pelit buanget
doong,15,[BRImo] klo bikin aplikasi yg save simple doong proses verifikasi aja ribet banget,[BRImo] aplikasi jelek parah pengambilan fto ktp aja gagal terus please bikin aplikasi yg bgus doong,[BRImo] brimo bri sih sering banget susah masuknya aplikasinya cuma notifikasi mohon maaf sering dikasih notif mohon maaf sih kalau mau meningkatkan kualitas aplikasi mantep doong jangan tanggung tanggung nasabah sangat perlu saat lancar mudahnya pakai aplikasi brimo bri ini ya ini nasabah kami percaya anda terima kasih
gakk,15,[BCAMobile] bca kont di benahi sistem mu malem aku urus kerjaan gakk sama sekali masak ke atm,[BCAMobile] bcaa mobile gakk dibuka tiap mau dibuka hilang hilang terus mana perlu penting huft,[BCAMobile] gakk nge update coba dong
mantep,15,[BCAMobile] wih mantep bca tiba tiba potongin saldo pengguna mana ga di mutasi rekening happy cuan bca,[BRImo] mantep pokok nya,[BRImo] kasi sgini dulu blm coba soalnya kalo mantep apknya kalo aman di tambahin starnya smoga aja apk aman buat simpen uang
