Singkatan/Slang,Frekuensi,Contoh Ulasan 1,Contoh Ulasan 2,Contoh Ulasan 3
mst,3,[BRImo] lah sering banget update si posisi argent jd bingung minggu mst update masa aplikasi gini bagt,[Wondr] udh dftar bner ssuai petunjuk tiap mau masuk kok mst verifikasi ktp trs susah skali,[Wondr] parah susah sekali verifikasi wajah udh ikut panduan tetep aja g masuk heran knp mst bikin aplikasi baru sih knp g bni mobile nya aja diupgrade jd susah buat bayar listrik air
ngggk,3,[BCAMobile] gimana di update ngggk bs lg dibuka apk apa an,[BRImo] perbaiki kalo daftar pake provider threee ngggk login padahal kalo pake jaringan bisa,[livin] aplikasi sebenarnya membantu kenapa akhir susah betul loading ngggk masuk mau ngecek tagihan pdam selalu gangguan diperbaiki dong
ngri,3,[BCAMobile] knpa gak dipakai diluar ngri,[livin] maaf knpa sekarang tmbhan verifikasi jdi mkin rumit sedngkn sya kerja luar ngri susah cri cabang atm mandiri sya ksih bintang dulu,[livin] baru updt bln lalu ko sekrng mnta updt lg mnding bagus cma tmbhn fitur doang kpsts kcptn gk d prbhrui jd lelet ngri gk ngri yg lma ttp d pkelah tkut msh dlm prcobaan updt trus lma lma gw ganti bank jg ni
skedar,3,[BCAMobile] agak kecewa sekelas bca kalah sama bank sebelah dri mbngking buat ribet masa skedar mau hapus bukti tf hrus ribet gk kya sebelah yg simple,[livin] error mulu dri tgl maret tdk bsa transfer bahkan skedar cek saldo jg tdk scara otomatis gk mau terbuka hapus n download ulang juga februari atm ketelan mau bikin ulang ditawarkan sma teller tarik tunai dgn livin kekeuh mau bikin atm krna yakin kalau aplikasi psti rawan taunya mala jelek bgt tdk sperti aplikasi dulu,[livin] makin kesini makin lelet yaa skedar cek saldo aja susahnya minta ampun udh gitu log in nyaa duhh susah masuk
bkln,3,[BCAMobile] gak bkln bner klo transaksi pke bca malah ngerugiin orang saldo ngurangi tp dana g smpe tujuan gmn ky apl abal ngembaliin dana nunggu hari kerja apa n kaslahan kalian tp yg rugi g lg deh pke bca,[livin] sering update klo gaji ndak msuk sni g bkln dunlud aplikasi,[livin] mandiri udh bagus aplikasinya cuma disayangkan klo pgn tlp k cs pusatnya pake pulsa biasa cba adain aplikasi macam bca tlp lwt aplikasi klo mau hub sm cs nya jd gg mesti pake pulsa biasa duh perfect bgt klo bnr sy bkln rekomendasi org
poool,3,[BRImo] aplikasi lemot brimo sya terblokir mau sya benahi smua syarat udah sya penuhi tinggal nunggu fertifikasi lewat sms lama buaaaaaaaanget tak kunjung sms masuk sya coba berulang laki fertifikasi tak kunjung sms sistem luuuuuueeeemot poool lemah,[BRImo] mau daftar aja susahnya poool mau poto ktp jadinya kepotong terus,[livin] mlah kayak taiii lbih enak yg biru sulit phami transaksinya trus mau tf tmen yg beda bank sulit kayak taii kecewa poool maubtop up dana jga susah jannccookk jqmncokk rubah skema nya koyok ttaaekk
ngucapin,3,[BRImo] mulut cape ngucapin verifikasi wajah puluhan kali sampe pegel rahang gak respone ribet bgt lah gak perlu pake brimo mending pake mbanking b a,[BRImo] dari kamarin mau buat akun gagal terus dibagian verifikasi wajah next update sedikit dirubah lah dibagian ga usah pakai ngucapin kata bla,[BRImo] cuma tinggal verifikasi wajah ngucapin sesuai yg tertera tp susah nya minta ampun gk kayak aplikasi mudah ribet tinggal masukin data ktp no rek beres
stidaknya,3,[BCAMobile] sekelah nasabah prioritas aja rekeningnya obrak abrik utk penyidikan wlwpun utk pnyidikan stidaknya informasi email telp jgn asal ngasihh dong dibyar berpaa luhhh sm tim si abu abu,[BCAMobile] menyebalkan lg mau tranfer malah sedang perbaikan coba donk klo mau perbaikan pemberitahuan dlu stidaknya merugi dsni heran bca skrg gk kaya dulu,[livin] menyesal donlod livin vertikasi wajah nya susah bikin emosi stelah gagal vertikasi wajah gagal trs gak pakai lama uang ambil smua atm mending ganti bank perhatikan konsumen mau nabung stidaknya permudah bukan persulit menyesal nabung bank dan menyesal jg saya donlod aplikasi sampah bikin emosi jg nih vertikasi wajahnya gagal trs saya kasih bintang atas layanan aplikasi sampah
waduuuuh,3,[BCAMobile] udah ga aman nyimpen duit bca waduuuuh,[BCAMobile] i bca internet banking suka keluar sendiri waduuuuh parah,[livin] saldo ilang d transaksi kepotong d status transaksi gda laporan waduuuuh g jelas saldo tetap ilang
pnuh,3,[BRImo] memalukan mw tarik tunai d link apk erorr snyal bagus pdhl kuota pnuh memalukaaaannnnnnn,[livin] disuruh update pas update gk karena penyimanan pnuh padahal pnyimpanan banyak,[livin] up date terus membuat memori pnuh
tuuh,3,[BRImo] duh knp yah ga login ayo dong katanya kualitas internetmu kurang baik padahal bagus aja tuuh buka tiktok youtube intagram kok knp login brimo ga bisaa huffff giliran penting bgini malah ribett,[livin] bi fast nya selalu bermasalah mau trf maksimal juta kalau pakai trf online biasa kalau bi fast lebih malah bermasalah terus bi fast mandiri bendera sebelah kagak tuuh,[livin] hiii livin makin kesini kok makin kaya sampah layanannya ga malu sama bank sebelah apa bank besar loooh bukan bank keliling kerjaannya perbaikan system trus ga baik tuuh system cuma seginikah kemampuan mandiri kerja wooyyy kerja jngan mao gaji gede kerjaan nol kasihan nasabah yg mau transaksi mlm hari bank perbaikan cuma seminggu sekali laah livin tiap mlm ga pernah baik haduuuhhhh
gasalah,3,[BRImo] gasalah nelp call center lebih menit slow respon gaada slanya emang sekelas bri payah,[livin] aplikasinya gmna sih pas udah mau pembayaran dikasih msuk pin kok mlh slh trus pdhl memang pinnya smpai akhirnya keblok udah gitu dibikin bru lah pinnya ehh mlh bsoknya mau tf sllu slh pin nya pdhl pinnya gasalah,[livin] gasalah sekali biaya admin kali
